state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
RI,smoothed_cli,2020-07-28,2020-09-03,37,0.3879592,0.1402545,1672.978,state,fb-survey
SC,smoothed_cli,2020-07-28,2020-09-03,37,0.8829156,0.0867199,9116.006,state,fb-survey
SD,smoothed_cli,2020-07-28,2020-09-03,37,0.434964,0.1428515,1477.5058,state,fb-survey
TN,smoothed_cli,2020-07-28,2020-09-03,37,0.7301294,0.0751569,9529.3617,state,fb-survey
TX,smoothed_cli,2020-07-28,2020-09-03,37,0.8864149,0.0438222,32829.5216,state,fb-survey
UT,smoothed_cli,2020-07-28,2020-09-03,37,0.5596324,0.0915381,4658.9453,state,fb-survey
VA,smoothed_cli,2020-07-28,2020-09-03,37,0.4105478,0.0485596,12824.7607,state,fb-survey
VT,smoothed_cli,2020-07-28,2020-09-03,37,0.3801402,0.1751151,1232.0016,state,fb-survey
WA,smoothed_cli,2020-07-28,2020-09-03,37,0.3602823,0.049545,11166.9276,state,fb-survey
WI,smoothed_cli,2020-07-28,2020-09-03,37,0.4490459,0.061483,9335.959,state,fb-survey
WV,smoothed_cli,2020-07-28,2020-09-03,37,0.4775685,0.102612,3421.3562,state,fb-survey
WY,smoothed_cli,2020-07-28,2020-09-03,37,0.8479325,0.2723352,1016.7405,state,fb-survey
AK,smoothed_cli,2020-07-29,2020-09-03,36,0.5402273,0.1731271,1253,state,fb-survey
AL,smoothed_cli,2020-07-29,2020-09-03,36,1.0903681,0.1055107,6788.1773,state,fb-survey
AR,smoothed_cli,2020-07-29,2020-09-03,36,0.7843816,0.1147489,4253.0961,state,fb-survey
AZ,smoothed_cli,2020-07-29,2020-09-03,36,0.6648466,0.0701153,9381.9059,state,fb-survey
CA,smoothed_cli,2020-07-29,2020-09-03,36,0.6432818,0.0349454,38751.4914,state,fb-survey
CO,smoothed_cli,2020-07-29,2020-09-03,36,0.4009174,0.0582637,8678.6908,state,fb-survey
CT,smoothed_cli,2020-07-29,2020-09-03,36,0.2197542,0.0539817,5863,state,fb-survey
DC,smoothed_cli,2020-07-29,2020-09-03,36,0.1139818,0.1281201,846,state,fb-survey
DE,smoothed_cli,2020-07-29,2020-09-03,36,0.4117994,0.1353171,1721.0073,state,fb-survey
FL,smoothed_cli,2020-07-29,2020-09-03,36,0.8617093,0.0459998,30185.9988,state,fb-survey
GA,smoothed_cli,2020-07-29,2020-09-03,36,1.0331519,0.0796335,12087.884,state,fb-survey
HI,smoothed_cli,2020-07-29,2020-09-03,36,0.2680251,0.1156104,1595,state,fb-survey
IA,smoothed_cli,2020-07-29,2020-09-03,36,0.7276482,0.0928341,6250.0545,state,fb-survey
ID,smoothed_cli,2020-07-29,2020-09-03,36,0.8919895,0.1415414,3065.4093,state,fb-survey
IL,smoothed_cli,2020-07-29,2020-09-03,36,0.4616242,0.0451278,17163.0662,state,fb-survey
IN,smoothed_cli,2020-07-29,2020-09-03,36,0.4825281,0.059759,10043.0094,state,fb-survey
KS,smoothed_cli,2020-07-29,2020-09-03,36,0.4592554,0.0821504,4779.1438,state,fb-survey
KY,smoothed_cli,2020-07-29,2020-09-03,36,0.4499951,0.0695499,6475.3311,state,fb-survey
LA,smoothed_cli,2020-07-29,2020-09-03,36,1.1165589,0.1129823,6726.7382,state,fb-survey
MA,smoothed_cli,2020-07-29,2020-09-03,36,0.2054746,0.0441643,8401.023,state,fb-survey
MD,smoothed_cli,2020-07-29,2020-09-03,36,0.3437637,0.0599654,7039.9896,state,fb-survey
ME,smoothed_cli,2020-07-29,2020-09-03,36,0.1338948,0.0557588,2962.4468,state,fb-survey
MI,smoothed_cli,2020-07-29,2020-09-03,36,0.5191524,0.0488698,16449.024,state,fb-survey
MN,smoothed_cli,2020-07-29,2020-09-03,36,0.4353078,0.0610201,8131.0748,state,fb-survey
MO,smoothed_cli,2020-07-29,2020-09-03,36,0.6735537,0.0761675,8322.3079,state,fb-survey
MS,smoothed_cli,2020-07-29,2020-09-03,36,1.1890649,0.1389742,4280.8716,state,fb-survey
MT,smoothed_cli,2020-07-29,2020-09-03,36,0.5394323,0.1380257,2179.6111,state,fb-survey
NC,smoothed_cli,2020-07-29,2020-09-03,36,0.5343337,0.0532972,14367.0184,state,fb-survey
ND,smoothed_cli,2020-07-29,2020-09-03,36,1.0358731,0.2397058,1254.4622,state,fb-survey
NE,smoothed_cli,2020-07-29,2020-09-03,36,0.6113495,0.1236837,3069.7492,state,fb-survey
NH,smoothed_cli,2020-07-29,2020-09-03,36,0.2821404,0.0930493,2747.5532,state,fb-survey
NJ,smoothed_cli,2020-07-29,2020-09-03,36,0.2888616,0.048613,10371.9962,state,fb-survey
NM,smoothed_cli,2020-07-29,2020-09-03,36,0.4959105,0.1171297,2964.4581,state,fb-survey
NV,smoothed_cli,2020-07-29,2020-09-03,36,0.6188921,0.1124611,3574.618,state,fb-survey
NY,smoothed_cli,2020-07-29,2020-09-03,36,0.3218038,0.0342213,20830.0028,state,fb-survey
OH,smoothed_cli,2020-07-29,2020-09-03,36,0.5130676,0.0453735,18284.0022,state,fb-survey
OK,smoothed_cli,2020-07-29,2020-09-03,36,0.8858549,0.1037364,6042.3241,state,fb-survey
OR,smoothed_cli,2020-07-29,2020-09-03,36,0.3767086,0.0661873,6392.0629,state,fb-survey
PA,smoothed_cli,2020-07-29,2020-09-03,36,0.3095264,0.0318742,20920.012,state,fb-survey
PR,smoothed_cli,2020-07-29,2020-09-03,36,0.245099,0.5400736,101.9996,state,fb-survey
RI,smoothed_cli,2020-07-29,2020-09-03,36,0.3898235,0.1409263,1664.977,state,fb-survey
SC,smoothed_cli,2020-07-29,2020-09-03,36,0.8669356,0.0859963,9005.0049,state,fb-survey
SD,smoothed_cli,2020-07-29,2020-09-03,36,0.5544038,0.171872,1446.5744,state,fb-survey
TN,smoothed_cli,2020-07-29,2020-09-03,36,0.7498804,0.0757463,9517.6561,state,fb-survey
TX,smoothed_cli,2020-07-29,2020-09-03,36,0.8902609,0.0438635,32657.519,state,fb-survey
UT,smoothed_cli,2020-07-29,2020-09-03,36,0.557639,0.0918232,4608.9354,state,fb-survey
VA,smoothed_cli,2020-07-29,2020-09-03,36,0.3811115,0.0463494,12809.3512,state,fb-survey
VT,smoothed_cli,2020-07-29,2020-09-03,36,0.3213504,0.1576643,1224.0016,state,fb-survey
WA,smoothed_cli,2020-07-29,2020-09-03,36,0.3479923,0.0485702,10995.9332,state,fb-survey
WI,smoothed_cli,2020-07-29,2020-09-03,36,0.5186664,0.067521,9204.9756,state,fb-survey
WV,smoothed_cli,2020-07-29,2020-09-03,36,0.5486386,0.1068188,3437.3068,state,fb-survey
WY,smoothed_cli,2020-07-29,2020-09-03,36,0.8804355,0.2668723,1039.7609,state,fb-survey
AK,smoothed_cli,2020-07-30,2020-09-03,35,0.647823,0.1917507,1261,state,fb-survey
AL,smoothed_cli,2020-07-30,2020-09-03,35,1.0539364,0.1040015,6756.1835,state,fb-survey
AR,smoothed_cli,2020-07-30,2020-09-03,35,0.7204456,0.1070677,4202.6846,state,fb-survey
AZ,smoothed_cli,2020-07-30,2020-09-03,35,0.6121321,0.0680519,9366.2598,state,fb-survey
CA,smoothed_cli,2020-07-30,2020-09-03,35,0.6344078,0.0347483,38461.5951,state,fb-survey
CO,smoothed_cli,2020-07-30,2020-09-03,35,0.4023161,0.0586617,8656.8102,state,fb-survey
CT,smoothed_cli,2020-07-30,2020-09-03,35,0.188324,0.0492268,5868,state,fb-survey
DC,smoothed_cli,2020-07-30,2020-09-03,35,0.1147959,0.1290333,840,state,fb-survey
DE,smoothed_cli,2020-07-30,2020-09-03,35,0.3444377,0.1141465,1735.0073,state,fb-survey
FL,smoothed_cli,2020-07-30,2020-09-03,35,0.8676807,0.046369,29854.9992,state,fb-survey
GA,smoothed_cli,2020-07-30,2020-09-03,35,1.0729202,0.0814767,11934.8817,state,fb-survey
HI,smoothed_cli,2020-07-30,2020-09-03,35,0.2414923,0.1098105,1577,state,fb-survey
IA,smoothed_cli,2020-07-30,2020-09-03,35,0.7027793,0.0909064,6170.0924,state,fb-survey
ID,smoothed_cli,2020-07-30,2020-09-03,35,0.7458076,0.1295572,3053.1527,state,fb-survey
IL,smoothed_cli,2020-07-30,2020-09-03,35,0.4579931,0.0442333,17147.0443,state,fb-survey
IN,smoothed_cli,2020-07-30,2020-09-03,35,0.513241,0.0609737,9981.0117,state,fb-survey
KS,smoothed_cli,2020-07-30,2020-09-03,35,0.4218322,0.0791361,4733.086,state,fb-survey
KY,smoothed_cli,2020-07-30,2020-09-03,35,0.5483652,0.0785209,6442.9612,state,fb-survey
LA,smoothed_cli,2020-07-30,2020-09-03,35,1.0479373,0.1117374,6664.554,state,fb-survey
MA,smoothed_cli,2020-07-30,2020-09-03,35,0.2044061,0.0432334,8388.0215,state,fb-survey
MD,smoothed_cli,2020-07-30,2020-09-03,35,0.3394892,0.060038,7054.9895,state,fb-survey
ME,smoothed_cli,2020-07-30,2020-09-03,35,0.1361467,0.056695,2913.4468,state,fb-survey
MI,smoothed_cli,2020-07-30,2020-09-03,35,0.516621,0.0485686,16451.0259,state,fb-survey
MN,smoothed_cli,2020-07-30,2020-09-03,35,0.5155849,0.0664751,8084.5586,state,fb-survey
MO,smoothed_cli,2020-07-30,2020-09-03,35,0.583577,0.0689322,8311.9192,state,fb-survey
MS,smoothed_cli,2020-07-30,2020-09-03,35,1.1204646,0.1408008,4176.4822,state,fb-survey
MT,smoothed_cli,2020-07-30,2020-09-03,35,0.6257663,0.1492276,2140.8323,state,fb-survey
NC,smoothed_cli,2020-07-30,2020-09-03,35,0.5543897,0.0547172,14332.0172,state,fb-survey
ND,smoothed_cli,2020-07-30,2020-09-03,35,1.0011519,0.2376932,1300.2659,state,fb-survey
NE,smoothed_cli,2020-07-30,2020-09-03,35,0.5865943,0.1199362,3102.6985,state,fb-survey
NH,smoothed_cli,2020-07-30,2020-09-03,35,0.2685948,0.0942537,2709.5532,state,fb-survey
NJ,smoothed_cli,2020-07-30,2020-09-03,35,0.3089803,0.0494109,10467.9956,state,fb-survey
NM,smoothed_cli,2020-07-30,2020-09-03,35,0.4832412,0.1191998,2869.9865,state,fb-survey
NV,smoothed_cli,2020-07-30,2020-09-03,35,0.6831141,0.1184697,3559.4138,state,fb-survey
NY,smoothed_cli,2020-07-30,2020-09-03,35,0.2981458,0.0333433,20647.0032,state,fb-survey
OH,smoothed_cli,2020-07-30,2020-09-03,35,0.5337484,0.0467307,18149.0012,state,fb-survey
OK,smoothed_cli,2020-07-30,2020-09-03,35,0.8798536,0.1040705,6015.0815,state,fb-survey
OR,smoothed_cli,2020-07-30,2020-09-03,35,0.4350476,0.07186,6395.0745,state,fb-survey
PA,smoothed_cli,2020-07-30,2020-09-03,35,0.3287845,0.0329728,20853.0115,state,fb-survey
PR,smoothed_cli,2020-07-30,2020-09-03,35,0.2252262,0.4968734,110.9995,state,fb-survey
RI,smoothed_cli,2020-07-30,2020-09-03,35,0.3839641,0.1399443,1646.9785,state,fb-survey
SC,smoothed_cli,2020-07-30,2020-09-03,35,0.773935,0.080649,8934.0051,state,fb-survey
SD,smoothed_cli,2020-07-30,2020-09-03,35,0.497934,0.1582861,1445.1623,state,fb-survey
TN,smoothed_cli,2020-07-30,2020-09-03,35,0.7289411,0.0732677,9489.0278,state,fb-survey
TX,smoothed_cli,2020-07-30,2020-09-03,35,0.8816865,0.0441291,32272.7616,state,fb-survey
UT,smoothed_cli,2020-07-30,2020-09-03,35,0.572545,0.0920352,4598.0383,state,fb-survey
VA,smoothed_cli,2020-07-30,2020-09-03,35,0.3740696,0.0449679,12742.9219,state,fb-survey
VT,smoothed_cli,2020-07-30,2020-09-03,35,0.4152632,0.1827499,1188.0017,state,fb-survey
WA,smoothed_cli,2020-07-30,2020-09-03,35,0.3471396,0.0487017,10926.922,state,fb-survey
WI,smoothed_cli,2020-07-30,2020-09-03,35,0.5014322,0.0665012,9147.9745,state,fb-survey
WV,smoothed_cli,2020-07-30,2020-09-03,35,0.5507685,0.108487,3469.3568,state,fb-survey
WY,smoothed_cli,2020-07-30,2020-09-03,35,0.7412157,0.240813,1052.9965,state,fb-survey
AK,smoothed_cli,2020-07-31,2020-09-03,34,0.6653439,0.2025114,1260,state,fb-survey
AL,smoothed_cli,2020-07-31,2020-09-03,34,1.0455337,0.1040754,6697.154,state,fb-survey
AR,smoothed_cli,2020-07-31,2020-09-03,34,0.7400825,0.1115916,4213.6855,state,fb-survey
AZ,smoothed_cli,2020-07-31,2020-09-03,34,0.5941521,0.0681902,9282.4886,state,fb-survey
CA,smoothed_cli,2020-07-31,2020-09-03,34,0.6399644,0.035032,38230.4422,state,fb-survey
CO,smoothed_cli,2020-07-31,2020-09-03,34,0.4321607,0.061987,8629.7498,state,fb-survey
CT,smoothed_cli,2020-07-31,2020-09-03,34,0.1862579,0.0489096,5968,state,fb-survey
DC,smoothed_cli,2020-07-31,2020-09-03,34,0.1133121,0.1273689,851,state,fb-survey
DE,smoothed_cli,2020-07-31,2020-09-03,34,0.3673274,0.1225486,1763.0073,state,fb-survey
FL,smoothed_cli,2020-07-31,2020-09-03,34,0.8392395,0.0458175,29637.9992,state,fb-survey
GA,smoothed_cli,2020-07-31,2020-09-03,34,1.0903214,0.0822184,11882.9056,state,fb-survey
HI,smoothed_cli,2020-07-31,2020-09-03,34,0.2133211,0.1043591,1629,state,fb-survey
IA,smoothed_cli,2020-07-31,2020-09-03,34,0.6377783,0.0851824,6224.0263,state,fb-survey
ID,smoothed_cli,2020-07-31,2020-09-03,34,0.7782962,0.1315061,3072.1639,state,fb-survey
IL,smoothed_cli,2020-07-31,2020-09-03,34,0.463699,0.0448654,17182.022,state,fb-survey
IN,smoothed_cli,2020-07-31,2020-09-03,34,0.5391233,0.0629959,9983.0153,state,fb-survey
KS,smoothed_cli,2020-07-31,2020-09-03,34,0.4247747,0.0799567,4689.086,state,fb-survey
KY,smoothed_cli,2020-07-31,2020-09-03,34,0.6402347,0.0858572,6449.1982,state,fb-survey
LA,smoothed_cli,2020-07-31,2020-09-03,34,1.0615466,0.1109167,6602.5539,state,fb-survey
MA,smoothed_cli,2020-07-31,2020-09-03,34,0.2159305,0.0449639,8339.0215,state,fb-survey
MD,smoothed_cli,2020-07-31,2020-09-03,34,0.3196162,0.0579552,7112.9891,state,fb-survey
ME,smoothed_cli,2020-07-31,2020-09-03,34,0.1271614,0.0566323,2857.2234,state,fb-survey
MI,smoothed_cli,2020-07-31,2020-09-03,34,0.4962517,0.0470943,16475.0094,state,fb-survey
MN,smoothed_cli,2020-07-31,2020-09-03,34,0.5634956,0.0686283,8050.5042,state,fb-survey
MO,smoothed_cli,2020-07-31,2020-09-03,34,0.5157653,0.0643138,8340.0172,state,fb-survey
MS,smoothed_cli,2020-07-31,2020-09-03,34,1.2068391,0.1466547,4168.6975,state,fb-survey
MT,smoothed_cli,2020-07-31,2020-09-03,34,0.5851794,0.1420152,2091.5524,state,fb-survey
NC,smoothed_cli,2020-07-31,2020-09-03,34,0.5622838,0.0556034,14326.0164,state,fb-survey
ND,smoothed_cli,2020-07-31,2020-09-03,34,1.004794,0.2440203,1295.4572,state,fb-survey
NE,smoothed_cli,2020-07-31,2020-09-03,34,0.5968447,0.1233635,3071.6242,state,fb-survey
NH,smoothed_cli,2020-07-31,2020-09-03,34,0.3493215,0.1057603,2668.7766,state,fb-survey
NJ,smoothed_cli,2020-07-31,2020-09-03,34,0.3434478,0.0517336,10436.9952,state,fb-survey
NM,smoothed_cli,2020-07-31,2020-09-03,34,0.4610658,0.1160477,2874.82,state,fb-survey
NV,smoothed_cli,2020-07-31,2020-09-03,34,0.6422886,0.1145121,3579.5668,state,fb-survey
NY,smoothed_cli,2020-07-31,2020-09-03,34,0.2757025,0.0319164,20582.0027,state,fb-survey
OH,smoothed_cli,2020-07-31,2020-09-03,34,0.5629174,0.0479666,17995.9987,state,fb-survey
OK,smoothed_cli,2020-07-31,2020-09-03,34,0.7903942,0.0989577,6040.3242,state,fb-survey
OR,smoothed_cli,2020-07-31,2020-09-03,34,0.5092652,0.0808434,6404.071,state,fb-survey
PA,smoothed_cli,2020-07-31,2020-09-03,34,0.3670359,0.035866,20789.0114,state,fb-survey
PR,smoothed_cli,2020-07-31,2020-09-03,34,0.2173924,0.4798155,114.9994,state,fb-survey
RI,smoothed_cli,2020-07-31,2020-09-03,34,0.3735477,0.1322967,1625.9785,state,fb-survey
SC,smoothed_cli,2020-07-31,2020-09-03,34,0.8289143,0.0849582,8780.0065,state,fb-survey
SD,smoothed_cli,2020-07-31,2020-09-03,34,0.5567303,0.1687236,1401.3327,state,fb-survey
TN,smoothed_cli,2020-07-31,2020-09-03,34,0.8296156,0.0789826,9518.7922,state,fb-survey
TX,smoothed_cli,2020-07-31,2020-09-03,34,0.8607771,0.0436244,32107.5184,state,fb-survey
UT,smoothed_cli,2020-07-31,2020-09-03,34,0.520522,0.0888215,4593.0359,state,fb-survey
VA,smoothed_cli,2020-07-31,2020-09-03,34,0.383488,0.0463098,12625.5021,state,fb-survey
VT,smoothed_cli,2020-07-31,2020-09-03,34,0.5114935,0.205831,1160.0019,state,fb-survey
WA,smoothed_cli,2020-07-31,2020-09-03,34,0.3432313,0.0479003,10842.9231,state,fb-survey
WI,smoothed_cli,2020-07-31,2020-09-03,34,0.5063096,0.0664371,9193.9915,state,fb-survey
WV,smoothed_cli,2020-07-31,2020-09-03,34,0.4987892,0.0997011,3493.405,state,fb-survey
WY,smoothed_cli,2020-07-31,2020-09-03,34,0.5429388,0.1884008,1039.0301,state,fb-survey
AK,smoothed_cli,2020-08-01,2020-09-03,33,0.7337373,0.2219073,1273,state,fb-survey
AL,smoothed_cli,2020-08-01,2020-09-03,33,1.0691448,0.1056198,6658.1651,state,fb-survey
AR,smoothed_cli,2020-08-01,2020-09-03,33,0.8235882,0.1205695,4158.8529,state,fb-survey
AZ,smoothed_cli,2020-08-01,2020-09-03,33,0.5135177,0.0639347,9247.7791,state,fb-survey
CA,smoothed_cli,2020-08-01,2020-09-03,33,0.6509633,0.0356679,38088.4605,state,fb-survey
CO,smoothed_cli,2020-08-01,2020-09-03,33,0.4041622,0.0606265,8666.7499,state,fb-survey
CT,smoothed_cli,2020-08-01,2020-09-03,33,0.1993346,0.0517618,5897,state,fb-survey
DC,smoothed_cli,2020-08-01,2020-09-03,33,0.1315061,0.1274849,860,state,fb-survey
DE,smoothed_cli,2020-08-01,2020-09-03,33,0.2601824,0.0937844,1778.0073,state,fb-survey
FL,smoothed_cli,2020-08-01,2020-09-03,33,0.8419317,0.0460968,29214.9994,state,fb-survey
GA,smoothed_cli,2020-08-01,2020-09-03,33,1.099099,0.0826859,11934.8935,state,fb-survey
HI,smoothed_cli,2020-08-01,2020-09-03,33,0.2692539,0.1185749,1662,state,fb-survey
IA,smoothed_cli,2020-08-01,2020-09-03,33,0.6013722,0.0818682,6257.0381,state,fb-survey
ID,smoothed_cli,2020-08-01,2020-09-03,33,0.8525588,0.1378677,3112.0061,state,fb-survey
IL,smoothed_cli,2020-08-01,2020-09-03,33,0.4522455,0.0439869,17268,state,fb-survey
IN,smoothed_cli,2020-08-01,2020-09-03,33,0.6161103,0.0681582,9914.0171,state,fb-survey
KS,smoothed_cli,2020-08-01,2020-09-03,33,0.3465787,0.0685318,4641.0015,state,fb-survey
KY,smoothed_cli,2020-08-01,2020-09-03,33,0.7039698,0.0909462,6442.894,state,fb-survey
LA,smoothed_cli,2020-08-01,2020-09-03,33,0.9794682,0.1043281,6600.3689,state,fb-survey
MA,smoothed_cli,2020-08-01,2020-09-03,33,0.2021579,0.0439146,8442.022,state,fb-survey
MD,smoothed_cli,2020-08-01,2020-09-03,33,0.3082338,0.0568499,7121.9892,state,fb-survey
ME,smoothed_cli,2020-08-01,2020-09-03,33,0.0564818,0.0318378,2803.2234,state,fb-survey
MI,smoothed_cli,2020-08-01,2020-09-03,33,0.4813592,0.0465606,16524.9918,state,fb-survey
MN,smoothed_cli,2020-08-01,2020-09-03,33,0.60967,0.0733175,8015.9759,state,fb-survey
MO,smoothed_cli,2020-08-01,2020-09-03,33,0.4883677,0.0621717,8421.8765,state,fb-survey
MS,smoothed_cli,2020-08-01,2020-09-03,33,1.1372084,0.1407362,4158.7086,state,fb-survey
MT,smoothed_cli,2020-08-01,2020-09-03,33,0.6593865,0.152164,2099.5767,state,fb-survey
NC,smoothed_cli,2020-08-01,2020-09-03,33,0.5565146,0.0551357,14316.0153,state,fb-survey
ND,smoothed_cli,2020-08-01,2020-09-03,33,0.9563646,0.2448814,1295.4662,state,fb-survey
NE,smoothed_cli,2020-08-01,2020-09-03,33,0.6571398,0.1317043,3114.2829,state,fb-survey
NH,smoothed_cli,2020-08-01,2020-09-03,33,0.3363227,0.0999565,2639.7766,state,fb-survey
NJ,smoothed_cli,2020-08-01,2020-09-03,33,0.3415756,0.0514327,10542.9948,state,fb-survey
NM,smoothed_cli,2020-08-01,2020-09-03,33,0.3736903,0.1039602,2880.5273,state,fb-survey
NV,smoothed_cli,2020-08-01,2020-09-03,33,0.7217372,0.1202601,3604.8214,state,fb-survey
NY,smoothed_cli,2020-08-01,2020-09-03,33,0.2725357,0.031278,20546.0024,state,fb-survey
OH,smoothed_cli,2020-08-01,2020-09-03,33,0.5641993,0.0478449,18044.9981,state,fb-survey
OK,smoothed_cli,2020-08-01,2020-09-03,33,0.8282903,0.1017611,6023.4386,state,fb-survey
OR,smoothed_cli,2020-08-01,2020-09-03,33,0.4837655,0.077706,6442.9636,state,fb-survey
PA,smoothed_cli,2020-08-01,2020-09-03,33,0.3881674,0.0369196,20846.012,state,fb-survey
PR,smoothed_cli,2020-08-01,2020-09-03,33,0.2272739,0.5013292,109.9994,state,fb-survey
RI,smoothed_cli,2020-08-01,2020-09-03,33,0.3849761,0.1362279,1646.978,state,fb-survey
SC,smoothed_cli,2020-08-01,2020-09-03,33,0.8396607,0.0848058,8749.0062,state,fb-survey
SD,smoothed_cli,2020-08-01,2020-09-03,33,0.5120393,0.1763589,1403.3401,state,fb-survey
TN,smoothed_cli,2020-08-01,2020-09-03,33,0.8774344,0.0816945,9526.0846,state,fb-survey
TX,smoothed_cli,2020-08-01,2020-09-03,33,0.8609422,0.0439738,31927.544,state,fb-survey
UT,smoothed_cli,2020-08-01,2020-09-03,33,0.5434559,0.0916099,4597.0335,state,fb-survey
VA,smoothed_cli,2020-08-01,2020-09-03,33,0.3692039,0.0446353,12667.2117,state,fb-survey
VT,smoothed_cli,2020-08-01,2020-09-03,33,0.4366744,0.1911463,1187.0019,state,fb-survey
WA,smoothed_cli,2020-08-01,2020-09-03,33,0.301121,0.0446365,10864.9243,state,fb-survey
WI,smoothed_cli,2020-08-01,2020-09-03,33,0.4445166,0.0611661,9216.0086,state,fb-survey
WV,smoothed_cli,2020-08-01,2020-09-03,33,0.5616068,0.1072168,3465.3565,state,fb-survey
WY,smoothed_cli,2020-08-01,2020-09-03,33,0.4663923,0.1659496,1019.9669,state,fb-survey
AK,smoothed_cli,2020-08-02,2020-09-03,32,0.7071153,0.2234049,1295,state,fb-survey
AL,smoothed_cli,2020-08-02,2020-09-03,32,1.0737778,0.1071016,6657.1384,state,fb-survey
AR,smoothed_cli,2020-08-02,2020-09-03,32,0.7834073,0.1125514,4175.9493,state,fb-survey
AZ,smoothed_cli,2020-08-02,2020-09-03,32,0.5236627,0.0646327,9192.741,state,fb-survey
CA,smoothed_cli,2020-08-02,2020-09-03,32,0.6329917,0.0351316,38084.3713,state,fb-survey
CO,smoothed_cli,2020-08-02,2020-09-03,32,0.4169429,0.0601789,8649.7791,state,fb-survey
CT,smoothed_cli,2020-08-02,2020-09-03,32,0.2208385,0.0550131,5919,state,fb-survey
DC,smoothed_cli,2020-08-02,2020-09-03,32,0.2472103,0.1718659,862,state,fb-survey
DE,smoothed_cli,2020-08-02,2020-09-03,32,0.4275672,0.1227852,1803.0146,state,fb-survey
FL,smoothed_cli,2020-08-02,2020-09-03,32,0.8311791,0.0457724,28841.9994,state,fb-survey
GA,smoothed_cli,2020-08-02,2020-09-03,32,1.1077174,0.0829746,11970.9038,state,fb-survey
HI,smoothed_cli,2020-08-02,2020-09-03,32,0.2451865,0.1062076,1662,state,fb-survey
IA,smoothed_cli,2020-08-02,2020-09-03,32,0.6152497,0.0824181,6230.2033,state,fb-survey
ID,smoothed_cli,2020-08-02,2020-09-03,32,0.7755916,0.1316359,3148.0054,state,fb-survey
IL,smoothed_cli,2020-08-02,2020-09-03,32,0.4527189,0.043453,17437.9994,state,fb-survey
IN,smoothed_cli,2020-08-02,2020-09-03,32,0.6685213,0.0710825,9877.0167,state,fb-survey
KS,smoothed_cli,2020-08-02,2020-09-03,32,0.3746932,0.0714373,4666.97,state,fb-survey
KY,smoothed_cli,2020-08-02,2020-09-03,32,0.722151,0.0922628,6447.9777,state,fb-survey
LA,smoothed_cli,2020-08-02,2020-09-03,32,1.0131154,0.1069831,6623.1829,state,fb-survey
MA,smoothed_cli,2020-08-02,2020-09-03,32,0.2320083,0.0472084,8424.0235,state,fb-survey
MD,smoothed_cli,2020-08-02,2020-09-03,32,0.3198149,0.0590286,7181.9814,state,fb-survey
ME,smoothed_cli,2020-08-02,2020-09-03,32,0.0815434,0.0372676,2832.2234,state,fb-survey
MI,smoothed_cli,2020-08-02,2020-09-03,32,0.5147445,0.0481699,16698.9921,state,fb-survey
MN,smoothed_cli,2020-08-02,2020-09-03,32,0.528998,0.0683768,7870.8749,state,fb-survey
MO,smoothed_cli,2020-08-02,2020-09-03,32,0.5463622,0.067212,8433.9414,state,fb-survey
MS,smoothed_cli,2020-08-02,2020-09-03,32,1.1786966,0.1427234,4197.7709,state,fb-survey
MT,smoothed_cli,2020-08-02,2020-09-03,32,0.6197975,0.1491491,2107.6151,state,fb-survey
NC,smoothed_cli,2020-08-02,2020-09-03,32,0.5613074,0.0547639,14308.0199,state,fb-survey
ND,smoothed_cli,2020-08-02,2020-09-03,32,1.1296846,0.2706893,1258.5517,state,fb-survey
NE,smoothed_cli,2020-08-02,2020-09-03,32,0.6818595,0.1362584,3073.2992,state,fb-survey
NH,smoothed_cli,2020-08-02,2020-09-03,32,0.3320696,0.0978349,2723.7766,state,fb-survey
NJ,smoothed_cli,2020-08-02,2020-09-03,32,0.2788197,0.0450749,10664.9951,state,fb-survey
NM,smoothed_cli,2020-08-02,2020-09-03,32,0.4276682,0.1111982,2914.4627,state,fb-survey
NV,smoothed_cli,2020-08-02,2020-09-03,32,0.7542245,0.1223934,3621.9105,state,fb-survey
NY,smoothed_cli,2020-08-02,2020-09-03,32,0.3140345,0.0329285,20878.0016,state,fb-survey
OH,smoothed_cli,2020-08-02,2020-09-03,32,0.5514277,0.0470219,18201.9992,state,fb-survey
OK,smoothed_cli,2020-08-02,2020-09-03,32,0.8353225,0.1025869,6013.3816,state,fb-survey
OR,smoothed_cli,2020-08-02,2020-09-03,32,0.4504726,0.075172,6493.9626,state,fb-survey
PA,smoothed_cli,2020-08-02,2020-09-03,32,0.3695224,0.0361218,21002.0135,state,fb-survey
PR,smoothed_cli,2020-08-02,2020-09-03,32,0,0.4854369,101.9993,state,fb-survey
RI,smoothed_cli,2020-08-02,2020-09-03,32,0.3680152,0.1270947,1663.9765,state,fb-survey
SC,smoothed_cli,2020-08-02,2020-09-03,32,0.85522,0.0853561,8665.0063,state,fb-survey
SD,smoothed_cli,2020-08-02,2020-09-03,32,0.6762022,0.2026509,1417.2274,state,fb-survey
TN,smoothed_cli,2020-08-02,2020-09-03,32,0.8749456,0.080939,9497.9987,state,fb-survey
TX,smoothed_cli,2020-08-02,2020-09-03,32,0.8850214,0.0448549,31837.6719,state,fb-survey
UT,smoothed_cli,2020-08-02,2020-09-03,32,0.5624323,0.0968744,4587.0071,state,fb-survey
