state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
MS,smoothed_cli,2020-04-07,2020-09-03,149,0.907656,0.1222617,4337.7626,state,fb-survey
MT,smoothed_cli,2020-04-07,2020-09-03,149,1.1098644,0.2119049,1949.3687,state,fb-survey
NC,smoothed_cli,2020-04-07,2020-09-03,149,0.7075759,0.0736192,9729.0084,state,fb-survey
ND,smoothed_cli,2020-04-07,2020-09-03,149,0.871605,0.2290639,1197.5557,state,fb-survey
NE,smoothed_cli,2020-04-07,2020-09-03,149,1.1483404,0.1696649,2994.6091,state,fb-survey
NH,smoothed_cli,2020-04-07,2020-09-03,149,0.7646147,0.145292,2396.7766,state,fb-survey
NJ,smoothed_cli,2020-04-07,2020-09-03,149,1.1303048,0.0885676,10272.9933,state,fb-survey
NM,smoothed_cli,2020-04-07,2020-09-03,149,0.5928509,0.1138887,3016.0423,state,fb-survey
NV,smoothed_cli,2020-04-07,2020-09-03,149,0.983303,0.1237813,4881.1561,state,fb-survey
NY,smoothed_cli,2020-04-07,2020-09-03,149,1.6109236,0.1158929,8651.0011,state,fb-survey
OH,smoothed_cli,2020-04-07,2020-09-03,149,0.8676319,0.0735748,11915.9981,state,fb-survey
OK,smoothed_cli,2020-04-07,2020-09-03,149,0.98006,0.1038643,6686.2827,state,fb-survey
OR,smoothed_cli,2020-04-07,2020-09-03,149,1.1172655,0.1072837,7158.5277,state,fb-survey
PA,smoothed_cli,2020-04-07,2020-09-03,149,0.6994632,0.0642551,12749.0084,state,fb-survey
RI,smoothed_cli,2020-04-07,2020-09-03,149,0.541811,0.1571461,1661.9735,state,fb-survey
SC,smoothed_cli,2020-04-07,2020-09-03,149,0.7596127,0.0842316,7996.0068,state,fb-survey
SD,smoothed_cli,2020-04-07,2020-09-03,149,1.3122257,0.2566204,1342.8792,state,fb-survey
TN,smoothed_cli,2020-04-07,2020-09-03,149,0.7965457,0.0770605,10223.8929,state,fb-survey
TX,smoothed_cli,2020-04-07,2020-09-03,149,0.8106985,0.0765425,9956.9876,state,fb-survey
